"Level","BusinessSegment","Department","Unit","FullName","Abbreviation","Source","Notes"
"Unit","Group Head Office","Group Human Resources","Talent & Learning - Talent Acquisition (TA)","Talent & Learning - Talent Acquisition (TA)","TA","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Talent & Learning - Talent Management (TM)","Talent & Learning - Talent Management (TM)","TM","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Talent & Learning - Talent Strategy (TS)","Talent & Learning - Talent Strategy (TS)","TALENTSTRAT","from client tokens",""
"Unit","Group Head Office","Group Human Resources","Talent & Learning - The Crest","Talent & Learning - The Crest","THECREST","from client tokens",""
"Department","Group Head Office","Group Integrity, Governance & Assurance","","Group Integrity, Governance & Assurance","GIGA","from client tokens",""
"Unit","Group Head Office","Group Integrity, Governance & Assurance","GCA IT & Analytics","GCA IT & Analytics","GCAIT_ANALYTICS","from client tokens",""
"Unit","Group Head Office","Group Integrity, Governance & Assurance","GCA SDGI","GCA SDGI","GCA_SDGI","from client tokens",""
"Unit","Group Head Office","Group Integrity, Governance & Assurance","GCA UPMY, R&D & HO","GCA UPMY, R&D & HO","GCA_UPMY_RDHO","from client tokens",""
"Unit","Group Head Office","Group Integrity, Governance & Assurance","Group Fraud & Corruption Risk Mgmt (GFCRM)","Group Fraud & Corruption Risk Mgmt (GFCRM)","GRCRM","from client tokens",""
"Unit","Group Head Office","Group Integrity, Governance & Assurance","Group Integrity & Governance Unit (GIG)","Group Integrity & Governance Unit (GIG)","GIG","from client tokens",""
"Unit","Group Head Office","Group Integrity, Governance & Assurance","Practice Management (PM)","Practice Management (PM)","PM","from client tokens",""
"Department","Group Head Office","Group Legal, Risk & Compliance","","Group Legal, Risk & Compliance","GLRC","from client tokens",""
"Unit","Group Head Office","Group Legal, Risk & Compliance","Group Compliance (GCO)","Group Compliance (GCO)","GCO","from client tokens",""
"Unit","Group Head Office","Group Legal, Risk & Compliance","Group Legal","Group Legal","LEGAL","from client tokens",""
"Unit","Group Head Office","Group Legal, Risk & Compliance","Group Risk","Group Risk","RISK","from client tokens",""
"Department","Group Head Office","Group Sustainability","","Group Sustainability","GS","from client tokens",""
"Unit","Group Head Office","Group Sustainability","Climate Change & Reporting","Climate Change & Reporting","CLIMATE_CR","from client tokens",""
"Unit","Group Head Office","Group Sustainability","Conservation & Biodiversity","Conservation & Biodiversity","CNB","from client tokens",""
"Unit","Group Head Office","Group Sustainability","Global HSE","Global HSE","GLOBALHSE","from client tokens",""
"Unit","Group Head Office","Group Sustainability","Sustainability Compliance","Sustainability Compliance","SC","from client tokens",""
"Unit","Group Head Office","Group Sustainability","Sustainability Head Office","Sustainability Head Office","SUS_HO","from client tokens",""
"Unit","Group Head Office","Group Sustainability","Traceability","Traceability","TRACEABILITY","from client tokens",""
"Department","Group Head Office","President's Office","","President's Office","PO","from client tokens",""
"Unit","Group Head Office","President's Office","Strategic Governance & Communications","Strategic Governance & Communications","STRATGOV_COMMS","from client tokens",""
"Unit","Group Head Office","President's Office","Strategic Planning","Strategic Planning","SP","from client tokens",""
"Unit","Group Head Office","President's Office","Strategy Partner Downstream","Strategy Partner Downstream","SPDNSTRM","from client tokens",""
"Unit","Group Head Office","President's Office","Strategy Partner Malaysia & Indonesia","Strategy Partner Malaysia & Indonesia","SP_MY_ID","from client tokens",""
"Unit","Group Head Office","President's Office","Strategy Partner Midstream & Investments","Strategy Partner Midstream & Investments","SPMID_INVT","from client tokens",""
"Unit","Group Head Office","President's Office","Strategy Partner PNG & SI","Strategy Partner PNG & SI","SP_PNGSI","from client tokens",""
"Segment","Minamas Head Office","","","Minamas Head Office","MHO","from client tokens",""
"Department","Minamas Head Office","CEO Office Administration","","CEO Office Administration","CEOOA","from client tokens",""
"Unit","Minamas Head Office","CEO Office Administration","Expatriate Formalities","Expatriate Formalities","EXPATF","from client tokens",""
"Unit","Minamas Head Office","CEO Office Administration","General Administration & Building Management","General Administration & Building Management","GABM","from client tokens",""
"Department","Minamas Head Office","Corporate Communication","","Corporate Communication","CORPCOMM","corrected: client used CEOOA, which belongs to CEO Office Administration",""
"Unit","Minamas Head Office","Corporate Communication","Corporate Social Responsibility & Operations Comms","Corporate Social Responsibility & Operations Comms","CSR_OPSCOMMS","from client tokens",""
"Unit","Minamas Head Office","Corporate Communication","Internal & External Comms","Internal & External Comms","INEXCOMMS","corrected","row carried no unit token"
"Department","Minamas Head Office","Corporate Services","","Corporate Services","CS","from client tokens",""
"Unit","Minamas Head Office","Corporate Services","Government Relations","Government Relations","GOVTREL","from client tokens",""
"Unit","Minamas Head Office","Corporate Services","Land Regulation","Land Regulation","LANDREL","from client tokens",""
"Unit","Minamas Head Office","Corporate Services","Licensing & Operation Security","Licensing & Operation Security","LOS","from client tokens",""
"Unit","Minamas Head Office","Corporate Services","Minority Shareholder Relation","Minority Shareholder Relation","MSR","from client tokens",""
"Unit","Minamas Head Office","Corporate Services","Partnership Development","Partnership Development","PARTDEV","from client tokens",""
"Department","Minamas Head Office","General Accounting","","General Accounting","GA","from client tokens",""
"Unit","Minamas Head Office","General Accounting","Asset Management","Asset Management","AM","from client tokens",""
"Unit","Minamas Head Office","General Accounting","General Ledger","General Ledger","GL","from client tokens",""
"Unit","Minamas Head Office","General Accounting","Holding & Consolidation","Holding & Consolidation","HCONSOL","from client tokens",""
"Unit","Minamas Head Office","General Accounting","Tax Compliance","Tax Compliance","TAX","from client tokens",""
"Department","Minamas Head Office","Group Compliance","","Group Compliance","GCO","from client tokens",""
"Unit","Minamas Head Office","Group Compliance","Group Compliance","Group Compliance","GCO","from client tokens","department and unit share a name"
"Department","Minamas Head Office","Group Corporate Assurance","","Group Corporate Assurance","GCA","corrected: one row omitted the department token",""
"Unit","Minamas Head Office","Group Corporate Assurance","Data Intelligence & Investigations","Data Intelligence & Investigations","DIINVESTN","from client tokens",""
"Unit","Minamas Head Office","Group Corporate Assurance","Estate & Other Operations","Estate & Other Operations","EOOPS","from client tokens",""
"Unit","Minamas Head Office","Group Corporate Assurance","Practice Management","Practice Management","PM","from client tokens",""
"Unit","Minamas Head Office","Group Corporate Assurance","Project & Mill Operations","Project & Mill Operations","PMOPS","corrected","row carried no unit token"
"Department","Minamas Head Office","Group Integrity & Governance","","Group Integrity & Governance","GIG","from client tokens",""
"Unit","Minamas Head Office","Group Integrity & Governance","Group Integrity & Governance","Group Integrity & Governance","GIG","from client tokens","department and unit share a name"
"Department","Minamas Head Office","Human Resource Management","","Human Resource Management","HRM","from client tokens",""
"Unit","Minamas Head Office","Human Resource Management","HR Business Partner and Industrial Relations","HR Business Partner and Industrial Relations","HRBP_IR","from client tokens",""
"Unit","Minamas Head Office","Human Resource Management","HR Rewards, Services, and Performance","HR Rewards, Services, and Performance","HRRSP","from client tokens",""
"Unit","Minamas Head Office","Human Resource Management","Organisation Development and Talent Management","Organisation Development and Talent Management","ODTM","from client tokens",""
"Department","Minamas Head Office","Information Technology Services","","Information Technology Services","ITS","from client tokens",""
"Unit","Minamas Head Office","Information Technology Services","Business Application & Development","Business Application & Development","BADEV","from client tokens",""
"Unit","Minamas Head Office","Information Technology Services","Infrastructure & IT Security","Infrastructure & IT Security","INFRA_ITS","from client tokens",""
"Unit","Minamas Head Office","Information Technology Services","SAP Strategic Project & Data","SAP Strategic Project & Data","SAPSTRATPD","from client tokens",""
"Department","Minamas Head Office","Legal & Corporate Secretary","","Legal & Corporate Secretary","LCS","from client tokens",""
"Unit","Minamas Head Office","Legal & Corporate Secretary","Corporate Secretary","Corporate Secretary","COSEC","from client tokens",""
"Unit","Minamas Head Office","Legal & Corporate Secretary","Legal","Legal","LEGAL","from client tokens",""
"Department","Minamas Head Office","Performance Monitoring Unit & Mechanisation","","Performance Monitoring Unit & Mechanisation","PMUM","from client tokens",""
"Unit","Minamas Head Office","Performance Monitoring Unit & Mechanisation","Mechanisation","Mechanisation","MEC","from client tokens",""
"Unit","Minamas Head Office","Performance Monitoring Unit & Mechanisation","Performance Monitoring Unit","Performance Monitoring Unit","PMU","from client tokens",""
"Department","Minamas Head Office","Plantation Operation","","Plantation Operation","POP","from client tokens",""
"Unit","Minamas Head Office","Plantation Operation","Estate Report","Estate Report","ER","from client tokens",""
"Unit","Minamas Head Office","Plantation Operation","Management Report","Management Report","MR","from client tokens",""
"Unit","Minamas Head Office","Plantation Operation","Mill Report","Mill Report","MILLR","from client tokens",""
"Unit","Minamas Head Office","Plantation Operation","Task Force Operation","Task Force Operation","TFO","from client tokens",""
"Department","Minamas Head Office","Production & Engineering","","Production & Engineering","PNE","corrected: client used both PNE and PROD",""
"Unit","Minamas Head Office","Production & Engineering","Engineering","Engineering","ENGINEERING","from client tokens",""
"Unit","Minamas Head Office","Production & Engineering","Production & Operation","Production & Operation","OPS","from client tokens",""
"Department","Minamas Head Office","Risk Management","","Risk Management","GRM","from client tokens",""
"Unit","Minamas Head Office","Risk Management","Risk Management","Risk Management","GRM","from client tokens","department and unit share a name"
"Department","Minamas Head Office","Supply Chain","","Supply Chain","SC","from client tokens",""
"Unit","Minamas Head Office","Supply Chain","Logistics","Logistics","LOGS","from client tokens",""
"Unit","Minamas Head Office","Supply Chain","Procurement","Procurement","PROC","from client tokens",""
"Department","Minamas Head Office","Sustainability","","Sustainability","SUS","corrected: client used SC on 3 rows, which belongs to Supply Chain",""
"Unit","Minamas Head Office","Sustainability","Environment, Social & Governance","Environment, Social & Governance","ESG","from client tokens",""
"Unit","Minamas Head Office","Sustainability","Health & Medical Services","Health & Medical Services","HMS","from client tokens",""
"Unit","Minamas Head Office","Sustainability","Health, Safety, and Environment","Health, Safety, and Environment","HSE","from client tokens",""
"Unit","Minamas Head Office","Sustainability","Sustainability Compliance & Quality Management","Sustainability Compliance & Quality Management","QM","from client tokens",""
"Department","Minamas Head Office","Taxation","","Taxation","TAX","from client tokens",""
"Unit","Minamas Head Office","Taxation","Taxation","Taxation","TAX","from client tokens","department and unit share a name"
"Department","Minamas Head Office","Treasury","","Treasury","TREAS","from client tokens",""
"Unit","Minamas Head Office","Treasury","Account Payable","Account Payable","AC","from client tokens",""
"Unit","Minamas Head Office","Treasury","Funding Operations","Funding Operations","FO","from client tokens",""
"Unit","Minamas Head Office","Treasury","Insurance Management","Insurance Management","INSURM","from client tokens",""
"Unit","Minamas Head Office","Treasury","Payment","Payment","PAYMENT","from client tokens",""
"Department","Minamas Head Office","Upstream Productivity","","Upstream Productivity","UPPROD","from client tokens",""
"Unit","Minamas Head Office","Upstream Productivity","Upstream Productivity","Upstream Productivity","UPPROD","from client tokens","department and unit share a name"
"Department","Minamas Head Office","Value Creation / Value Transformation","","Value Creation / Value Transformation","VCVT","from client tokens",""
"Unit","Minamas Head Office","Value Creation / Value Transformation","Value Creation / Value Transformation","Value Creation / Value Transformation","VCVT","from client tokens","department and unit share a name"
"Segment","NBPOL Head Office","","","NBPOL Head Office","NBPOLHO","from client tokens",""
"Department","NBPOL Head Office","Chief Operating Officer's Office","","Chief Operating Officer's Office","COO","from client tokens",""
"Unit","NBPOL Head Office","Chief Operating Officer's Office","Chief Operating Officer's Office","Chief Operating Officer's Office","COO","from client tokens","department and unit share a name"
"Department","NBPOL Head Office","Commercial","","Commercial","COMMERCIAL","from client tokens",""
"Unit","NBPOL Head Office","Commercial","Commercial","Commercial","COMMERCIAL","from client tokens","department and unit share a name"
"Department","NBPOL Head Office","Corporate Development & Services","","Corporate Development & Services","CDS","corrected: row carried only the unit token",""
"Unit","NBPOL Head Office","Corporate Development & Services","Upstream Support","Upstream Support","UPSUPPORT","corrected","row carried no unit token"
"Department","NBPOL Head Office","Engineering & Mill Services","","Engineering & Mill Services","EMS","from client tokens",""
"Unit","NBPOL Head Office","Engineering & Mill Services","Engineering Services","Engineering Services","ES","from client tokens",""
"Department","NBPOL Head Office","Finance","","Finance","FIN","from client tokens",""
"Unit","NBPOL Head Office","Finance","Finance Reporting","Finance Reporting","REPORTING","from client tokens",""
"Unit","NBPOL Head Office","Finance","Tax","Tax","TAX","from client tokens",""
"Department","NBPOL Head Office","Group Corporate Assurance","","Group Corporate Assurance","GCA","from client tokens",""
"Unit","NBPOL Head Office","Group Corporate Assurance","Group Corporate Assurance","Group Corporate Assurance","GCA","from client tokens","department and unit share a name"
"Department","NBPOL Head Office","Human Resources","","Human Resources","HR","from client tokens",""
"Unit","NBPOL Head Office","Human Resources","HR Operations","HR Operations","OPS","from client tokens",""
"Unit","NBPOL Head Office","Human Resources","HR Strategy & Talent","HR Strategy & Talent","STRATTALENT","from client tokens",""
"Unit","NBPOL Head Office","Human Resources","HRMIS","HRMIS","HRMIS","from client tokens",""
"Unit","NBPOL Head Office","Human Resources","Management Academy","Management Academy","MGMTACAD","from client tokens",""
"Unit","NBPOL Head Office","Human Resources","Travel","Travel","TRAVEL","from client tokens",""
"Department","NBPOL Head Office","Information Technology","","Information Technology","IT","from client tokens",""
"Unit","NBPOL Head Office","Information Technology","NBPOL IT Application Development","NBPOL IT Application Development","APPDEV","from client tokens",""
"Unit","NBPOL Head Office","Information Technology","NBPOL IT SAP Support","NBPOL IT SAP Support","SAP","from client tokens",""
"Department","NBPOL Head Office","Land Department","","Land Department","LAND","from client tokens",""
"Unit","NBPOL Head Office","Land Department","Land Management","Land Management","LM","from client tokens",""
"Unit","NBPOL Head Office","Land Department","Surveying","Surveying","SURVEYING","from client tokens",""
"Department","NBPOL Head Office","Legal","","Legal","LEGAL","from client tokens",""
"Unit","NBPOL Head Office","Legal","Legal","Legal","LEGAL","from client tokens","department and unit share a name"
"Department","NBPOL Head Office","NBPOL Procurement","","NBPOL Procurement","PROC","from client tokens",""
"Unit","NBPOL Head Office","NBPOL Procurement","Corporate Office","Corporate Office","CO","from client tokens",""
"Department","NBPOL Head Office","Performance Management Unit","","Performance Management Unit","PMU","corrected: row carried only the unit token",""
"Unit","NBPOL Head Office","Performance Management Unit","Standard Crop Recovery Assessment","Standard Crop Recovery Assessment","SCRA","corrected","row carried no unit token"
"Department","NBPOL Head Office","Sustainability","","Sustainability","SUS","from client tokens",""
"Unit","NBPOL Head Office","Sustainability","Certification","Certification","CERT","from client tokens",""
"Unit","NBPOL Head Office","Sustainability","Environment, Safety & Health","Environment, Safety & Health","ESH","from client tokens",""
"Department","NBPOL Head Office","Transformation","","Transformation","TRANSFORM","from client tokens",""
"Unit","NBPOL Head Office","Transformation","Transformation","Transformation","TRANSFORM","from client tokens","department and unit share a name"
